pawns_attacked,knights_attacked,bishops_attacked,rooks_attacked,queens_attacked,pieces_on_board,attacked_value,move_square,is_capture,piece_value,is_check,tactic
0,1,0,0,1,32,12,27,False,1,False,fork
2,0,1,1,1,27,19,28,False,3,False,fork
0,1,1,0,0,27,6,36,False,1,False,fork
0,0,1,0,1,26,12,37,False,1,False,fork
0,1,1,1,0,30,11,22,False,3,True,fork
0,1,1,0,0,31,6,35,False,1,False,fork
0,0,1,0,1,29,12,36,True,1,False,fork
0,1,0,0,1,16,12,45,True,3,True,fork
1,1,2,0,1,30,19,35,False,3,False,fork
0,0,1,0,0,29,3,42,False,1,False,fork
1,1,0,2,0,18,14,26,False,3,True,fork
0,2,0,0,0,19,6,27,False,1,False,fork
1,1,0,1,1,32,18,53,True,3,False,fork
0,1,1,1,0,16,11,43,False,3,True,fork
1,1,1,0,0,26,7,35,True,3,False,fork
0,1,0,0,1,25,12,38,False,1,False,fork
0,1,1,1,0,17,11,26,False,3,False,fork
0,1,1,1,1,23,20,43,False,3,False,fork
0,1,0,1,0,20,8,35,False,1,False,fork
1,1,1,0,1,32,16,27,False,3,False,fork
0,1,0,1,0,15,8,3,False,5,False,skewer
1,0,1,0,1,25,13,29,False,3,False,skewer
1,0,0,1,2,17,24,22,False,5,False,skewer
1,1,1,0,1,27,16,31,False,3,False,skewer
2,0,0,1,0,15,7,35,False,5,True,skewer
0,1,0,0,0,25,3,34,True,1,False,skewer
1,0,1,0,1,20,13,41,False,3,False,skewer
1,0,0,1,0,22,6,63,True,5,False,skewer
0,0,0,1,0,9,5,53,False,5,True,skewer
0,0,0,1,0,15,5,60,False,5,True,skewer
1,0,1,0,1,21,13,37,True,3,False,skewer
3,0,1,1,0,18,11,19,False,5,False,skewer
0,0,1,0,2,26,21,38,False,3,False,skewer
0,0,1,0,1,18,12,42,False,3,False,skewer
0,0,0,2,1,20,19,4,False,5,False,skewer
1,0,1,0,1,25,13,21,False,3,False,skewer
0,0,1,1,0,20,8,60,False,5,True,skewer
0,0,1,0,1,30,12,25,False,3,False,skewer
2,0,0,1,2,22,25,28,False,5,False,skewer
3,0,0,0,1,27,12,19,False,9,True,skewer
3,0,1,0,1,26,15,27,False,3,False,skewer
0,1,1,0,0,30,6,31,False,3,False,skewer
0,0,1,0,0,25,3,28,False,1,False,trapped
2,0,1,1,1,27,19,28,False,3,False,trapped
2,0,0,0,0,18,2,13,False,1,False,trapped
3,1,0,0,1,27,15,30,False,3,False,trapped
0,1,0,0,1,16,12,21,False,1,False,trapped
0,0,0,0,1,28,9,33,False,1,False,trapped
2,1,0,0,1,24,14,25,False,3,False,trapped
3,0,1,0,1,27,15,35,False,3,False,trapped
0,0,1,0,0,30,3,38,False,1,False,trapped
1,1,0,1,0,20,9,11,True,3,False,trapped
0,0,1,0,0,22,3,37,False,1,False,trapped
0,0,1,0,0,11,3,11,False,1,False,trapped
1,0,0,1,1,26,15,24,False,5,False,trapped
1,0,1,1,0,28,9,49,True,3,False,trapped
0,0,0,1,0,23,5,34,True,1,False,trapped
0,0,1,0,0,23,3,36,False,1,False,trapped
1,1,1,0,1,30,16,32,False,3,False,trapped
0,0,1,1,1,27,17,54,False,3,False,trapped
1,0,1,1,0,31,9,14,True,3,False,trapped
0,0,0,0,1,29,9,36,False,1,False,trapped
0,0,1,0,0,32,3,34,False,1,False,trapped
