0,https://www.chess.com/tactics/33720
1,https://www.chess.com/tactics/33803
2,https://www.chess.com/tactics/33720
3,https://www.chess.com/tactics/33803
4,https://www.chess.com/tactics/33720
5,https://www.chess.com/tactics/33803
6,https://www.chess.com/tactics/33720
7,https://www.chess.com/tactics/33803
8,https://www.chess.com/tactics/33720
9,https://www.chess.com/tactics/33803
10,https://www.chess.com/tactics/33720
11,https://www.chess.com/tactics/33803
12,https://www.chess.com/tactics/33720
13,https://www.chess.com/tactics/33803
14,https://www.chess.com/tactics/33720
15,https://www.chess.com/tactics/33803
16,https://www.chess.com/tactics/33720
17,https://www.chess.com/tactics/33803
18,https://www.chess.com/tactics/33720
19,https://www.chess.com/tactics/33803
20,https://www.chess.com/tactics/33720
21,https://www.chess.com/tactics/33803
22,https://www.chess.com/tactics/33720
23,https://www.chess.com/tactics/33803
24,https://www.chess.com/tactics/33720
25,https://www.chess.com/tactics/33803
26,https://www.chess.com/tactics/33720
27,https://www.chess.com/tactics/33803
28,https://www.chess.com/tactics/33720
29,https://www.chess.com/tactics/33803
